"","state","party_simplified","votes","first_digit","second_digit"
"1","ALABAMA","DEMOCRAT",849624,"8","4"
"2","ALABAMA","REPUBLICAN",1441170,"1","4"
"3","ALASKA","DEMOCRAT",153778,"1","5"
"4","ALASKA","REPUBLICAN",189951,"1","8"
"5","ARIZONA","DEMOCRAT",1672143,"1","6"
"6","ARIZONA","REPUBLICAN",1661686,"1","6"
"7","ARKANSAS","DEMOCRAT",423932,"4","2"
"8","ARKANSAS","REPUBLICAN",760647,"7","6"
"9","CALIFORNIA","DEMOCRAT",11110639,"1","1"
"10","CALIFORNIA","REPUBLICAN",6006518,"6","0"
"11","COLORADO","DEMOCRAT",1804352,"1","8"
"12","COLORADO","REPUBLICAN",1364607,"1","3"
"13","CONNECTICUT","DEMOCRAT",1080680,"1","0"
"14","CONNECTICUT","REPUBLICAN",714697,"7","1"
"15","DELAWARE","DEMOCRAT",296268,"2","9"
"16","DELAWARE","REPUBLICAN",200603,"2","0"
"17","DISTRICT OF COLUMBIA","DEMOCRAT",317323,"3","1"
"18","DISTRICT OF COLUMBIA","REPUBLICAN",18586,"1","8"
"19","FLORIDA","DEMOCRAT",5297036,"5","2"
"20","FLORIDA","REPUBLICAN",5668716,"5","6"
"21","GEORGIA","DEMOCRAT",2474507,"2","4"
"22","GEORGIA","REPUBLICAN",2461837,"2","4"
"23","HAWAII","DEMOCRAT",366130,"3","6"
"24","HAWAII","REPUBLICAN",196864,"1","9"
"25","IDAHO","DEMOCRAT",287021,"2","8"
"26","IDAHO","REPUBLICAN",554119,"5","5"
"27","ILLINOIS","DEMOCRAT",3471915,"3","4"
"28","ILLINOIS","REPUBLICAN",2446891,"2","4"
"29","INDIANA","DEMOCRAT",937215,"9","3"
"30","INDIANA","REPUBLICAN",1168807,"1","1"
"31","IOWA","DEMOCRAT",759061,"7","5"
"32","IOWA","REPUBLICAN",897672,"8","9"
"33","KANSAS","DEMOCRAT",570323,"5","7"
"34","KANSAS","REPUBLICAN",771406,"7","7"
"35","KENTUCKY","DEMOCRAT",772285,"7","7"
"36","KENTUCKY","REPUBLICAN",1326418,"1","3"
"37","LOUISIANA","DEMOCRAT",856034,"8","5"
"38","LOUISIANA","REPUBLICAN",1255776,"1","2"
"39","MAINE","DEMOCRAT",435072,"4","3"
"40","MAINE","REPUBLICAN",360737,"3","6"
"41","MARYLAND","DEMOCRAT",1985023,"1","9"
"42","MARYLAND","REPUBLICAN",976414,"9","7"
"43","MASSACHUSETTS","DEMOCRAT",2382202,"2","3"
"44","MASSACHUSETTS","REPUBLICAN",1167202,"1","1"
"45","MICHIGAN","DEMOCRAT",2801469,"2","8"
"46","MICHIGAN","REPUBLICAN",2649234,"2","6"
"47","MINNESOTA","REPUBLICAN",1484065,"1","4"
"48","MISSISSIPPI","DEMOCRAT",539398,"5","3"
"49","MISSISSIPPI","REPUBLICAN",756764,"7","5"
"50","MISSOURI","DEMOCRAT",1253014,"1","2"
"51","MISSOURI","REPUBLICAN",1718736,"1","7"
"52","MONTANA","DEMOCRAT",244786,"2","4"
"53","MONTANA","REPUBLICAN",343602,"3","4"
"54","NEBRASKA","DEMOCRAT",374583,"3","7"
"55","NEBRASKA","REPUBLICAN",556846,"5","5"
"56","NEVADA","DEMOCRAT",703186,"7","0"
"57","NEVADA","REPUBLICAN",669480,"6","6"
"58","NEW HAMPSHIRE","DEMOCRAT",424937,"4","2"
"59","NEW HAMPSHIRE","REPUBLICAN",365660,"3","6"
"60","NEW JERSEY","DEMOCRAT",2608400,"2","6"
"61","NEW JERSEY","REPUBLICAN",1883313,"1","8"
"62","NEW MEXICO","DEMOCRAT",501552,"5","0"
"63","NEW MEXICO","REPUBLICAN",401860,"4","0"
"64","NEW YORK","DEMOCRAT",4858440,"4","8"
"65","NEW YORK","REPUBLICAN",2955873,"2","9"
"66","NORTH CAROLINA","DEMOCRAT",2684292,"2","6"
"67","NORTH CAROLINA","REPUBLICAN",2758773,"2","7"
"68","NORTH DAKOTA","REPUBLICAN",235595,"2","3"
"69","OHIO","DEMOCRAT",2679165,"2","6"
"70","OHIO","REPUBLICAN",3154834,"3","1"
"71","OKLAHOMA","DEMOCRAT",503890,"5","0"
"72","OKLAHOMA","REPUBLICAN",1020280,"1","0"
"73","OREGON","DEMOCRAT",1340383,"1","3"
"74","OREGON","REPUBLICAN",958448,"9","5"
"75","PENNSYLVANIA","DEMOCRAT",3457343,"3","4"
"76","PENNSYLVANIA","REPUBLICAN",3379320,"3","3"
"77","RHODE ISLAND","DEMOCRAT",307486,"3","0"
"78","RHODE ISLAND","REPUBLICAN",199922,"1","9"
"79","SOUTH CAROLINA","DEMOCRAT",1091541,"1","0"
"80","SOUTH CAROLINA","REPUBLICAN",1385103,"1","3"
"81","SOUTH DAKOTA","DEMOCRAT",150471,"1","5"
"82","SOUTH DAKOTA","REPUBLICAN",261043,"2","6"
"83","TENNESSEE","DEMOCRAT",1143711,"1","1"
"84","TENNESSEE","REPUBLICAN",1852475,"1","8"
"85","TEXAS","DEMOCRAT",5257519,"5","2"
"86","TEXAS","REPUBLICAN",5889022,"5","8"
"87","UTAH","DEMOCRAT",560282,"5","6"
"88","UTAH","REPUBLICAN",865139,"8","6"
"89","VERMONT","DEMOCRAT",242820,"2","4"
"90","VERMONT","REPUBLICAN",112704,"1","1"
"91","VIRGINIA","DEMOCRAT",2413568,"2","4"
"92","VIRGINIA","REPUBLICAN",1962430,"1","9"
"93","WASHINGTON","DEMOCRAT",2369612,"2","3"
"94","WASHINGTON","REPUBLICAN",1584651,"1","5"
"95","WEST VIRGINIA","DEMOCRAT",235984,"2","3"
"96","WEST VIRGINIA","REPUBLICAN",545382,"5","4"
"97","WISCONSIN","DEMOCRAT",1630673,"1","6"
"98","WISCONSIN","REPUBLICAN",1610065,"1","6"
"99","WYOMING","DEMOCRAT",73491,"7","3"
"100","WYOMING","REPUBLICAN",193559,"1","9"
